"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2000,Germany,Chile,Asylum-seekers,1
2000,Germany,China,Asylum-seekers,470
2000,Germany,"Côte d'Ivoire",Asylum-seekers,92
2000,Germany,Cameroon,Asylum-seekers,234
2000,Germany,"Dem. Rep. of the Congo",Asylum-seekers,489
2000,Germany,Congo,Asylum-seekers,69
2000,Germany,Colombia,Asylum-seekers,81
2000,Germany,Cuba,Asylum-seekers,32
2000,Germany,"Czech Rep.",Asylum-seekers,22
2000,Germany,Algeria,Asylum-seekers,403
2000,Germany,Ecuador,Asylum-seekers,6
2000,Germany,Egypt,Asylum-seekers,35
2000,Germany,Eritrea,Asylum-seekers,125
2000,Germany,Spain,Asylum-seekers,1
2000,Germany,Estonia,Asylum-seekers,10
2000,Germany,Ethiopia,Asylum-seekers,187
2000,Germany,Gabon,Asylum-seekers,5
2000,Germany,Georgia,Asylum-seekers,224
2000,Germany,Ghana,Asylum-seekers,34
2000,Germany,Guinea,Asylum-seekers,50
2000,Germany,Gambia,Asylum-seekers,7
2000,Germany,Guinea-Bissau,Asylum-seekers,10
2000,Germany,"Equatorial Guinea",Asylum-seekers,1
2000,Germany,Croatia,Asylum-seekers,20
2000,Germany,Haiti,Asylum-seekers,1
2000,Germany,Hungary,Asylum-seekers,1
2000,Germany,India,Asylum-seekers,523
2000,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,2622
2000,Germany,Iraq,Asylum-seekers,3655
2000,Germany,Israel,Asylum-seekers,7
2000,Germany,Jordan,Asylum-seekers,26
2000,Germany,Kazakhstan,Asylum-seekers,50
2000,Germany,Kenya,Asylum-seekers,6
2000,Germany,Kyrgyzstan,Asylum-seekers,18
2000,Germany,Cambodia,Asylum-seekers,5
2000,Germany,Kuwait,Asylum-seekers,1
2000,Germany,Lebanon,Asylum-seekers,213
2000,Germany,Liberia,Asylum-seekers,26
2000,Germany,Libya,Asylum-seekers,48
2000,Germany,"Sri Lanka",Asylum-seekers,514
2000,Germany,Lithuania,Asylum-seekers,19
2000,Germany,Latvia,Asylum-seekers,4
2000,Germany,Morocco,Asylum-seekers,58
2000,Germany,"Rep. of Moldova",Asylum-seekers,49
2000,Germany,"The former Yugoslav Republic of Macedonia",Asylum-seekers,113
2000,Germany,Mali,Asylum-seekers,4
2000,Germany,Myanmar,Asylum-seekers,69
2000,Germany,Mongolia,Asylum-seekers,23
2000,Germany,Mozambique,Asylum-seekers,2
2000,Germany,Mauritania,Asylum-seekers,32
2000,Germany,Mauritius,Asylum-seekers,1
2000,Germany,Niger,Asylum-seekers,14
2000,Germany,Nigeria,Asylum-seekers,99
2000,Germany,Nepal,Asylum-seekers,64
2000,Germany,Pakistan,Asylum-seekers,584
2000,Germany,Peru,Asylum-seekers,5
2000,Germany,Poland,Asylum-seekers,73
2000,Germany,"Dem. People's Rep. of Korea",Asylum-seekers,22
2000,Germany,Romania,Asylum-seekers,32
2000,Germany,"Russian Federation",Asylum-seekers,1969
2000,Germany,Rwanda,Asylum-seekers,28
2000,Germany,Sudan,Asylum-seekers,88
2000,Germany,"Sierra Leone",Asylum-seekers,874
2000,Germany,"El Salvador",Asylum-seekers,1
2000,Germany,Somalia,Asylum-seekers,117
2000,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,36608
2000,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Returnees,62425
2000,Germany,Slovakia,Asylum-seekers,53
2000,Germany,Slovenia,Asylum-seekers,5
2000,Germany,"Syrian Arab Rep.",Asylum-seekers,1046
2000,Germany,Chad,Asylum-seekers,11
2000,Germany,Togo,Asylum-seekers,378
2000,Germany,Thailand,Asylum-seekers,2
2000,Germany,Tajikistan,Asylum-seekers,21
2000,Germany,Turkmenistan,Asylum-seekers,4
2000,Germany,Tunisia,Asylum-seekers,56
2000,Germany,Turkey,Asylum-seekers,3871
2000,Germany,"United Rep. of Tanzania",Asylum-seekers,1
2000,Germany,Uganda,Asylum-seekers,24
