"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2004,Germany,Indonesia,Asylum-seekers,7
2004,Germany,Indonesia,"Refugees (incl. refugee-like situations)",77
2004,Germany,India,Asylum-seekers,199
2004,Germany,India,"Refugees (incl. refugee-like situations)",3182
2004,Germany,Ireland,Asylum-seekers,1
2004,Germany,Ireland,"Refugees (incl. refugee-like situations)",3
2004,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,861
2004,Germany,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",39904
2004,Germany,Iraq,Asylum-seekers,844
2004,Germany,Iraq,"Refugees (incl. refugee-like situations)",68071
2004,Germany,Iceland,"Refugees (incl. refugee-like situations)",8
2004,Germany,Israel,Asylum-seekers,17
2004,Germany,Israel,"Refugees (incl. refugee-like situations)",373
2004,Germany,Italy,"Refugees (incl. refugee-like situations)",180
2004,Germany,Jamaica,Asylum-seekers,2
2004,Germany,Jamaica,"Refugees (incl. refugee-like situations)",15
2004,Germany,Jordan,Asylum-seekers,22
2004,Germany,Jordan,"Refugees (incl. refugee-like situations)",572
2004,Germany,Japan,"Refugees (incl. refugee-like situations)",9
2004,Germany,Kazakhstan,Asylum-seekers,13
2004,Germany,Kazakhstan,"Refugees (incl. refugee-like situations)",3524
2004,Germany,Kenya,Asylum-seekers,8
2004,Germany,Kenya,"Refugees (incl. refugee-like situations)",217
2004,Germany,Kyrgyzstan,Asylum-seekers,12
2004,Germany,Kyrgyzstan,"Refugees (incl. refugee-like situations)",2275
2004,Germany,Cambodia,Asylum-seekers,5
2004,Germany,Cambodia,"Refugees (incl. refugee-like situations)",185
2004,Germany,"Rep. of Korea","Refugees (incl. refugee-like situations)",137
2004,Germany,Kuwait,"Refugees (incl. refugee-like situations)",30
2004,Germany,"Lao People's Dem. Rep.",Asylum-seekers,1
2004,Germany,"Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)",315
2004,Germany,Lebanon,Asylum-seekers,103
2004,Germany,Lebanon,"Refugees (incl. refugee-like situations)",17302
2004,Germany,Liberia,Asylum-seekers,205
2004,Germany,Liberia,"Refugees (incl. refugee-like situations)",788
2004,Germany,Libya,Asylum-seekers,46
2004,Germany,Libya,"Refugees (incl. refugee-like situations)",651
2004,Germany,"Sri Lanka",Asylum-seekers,110
2004,Germany,"Sri Lanka","Refugees (incl. refugee-like situations)",12850
2004,Germany,"Sri Lanka",Returnees,5
2004,Germany,Lesotho,"Refugees (incl. refugee-like situations)",4
2004,Germany,Lithuania,Asylum-seekers,2
2004,Germany,Lithuania,"Refugees (incl. refugee-like situations)",1204
2004,Germany,Luxembourg,"Refugees (incl. refugee-like situations)",1
2004,Germany,Latvia,Asylum-seekers,6
2004,Germany,Latvia,"Refugees (incl. refugee-like situations)",2202
2004,Germany,Morocco,Asylum-seekers,44
2004,Germany,Morocco,"Refugees (incl. refugee-like situations)",925
2004,Germany,"Rep. of Moldova",Asylum-seekers,17
2004,Germany,"Rep. of Moldova","Refugees (incl. refugee-like situations)",5509
2004,Germany,Madagascar,"Refugees (incl. refugee-like situations)",7
2004,Germany,Mexico,Asylum-seekers,2
2004,Germany,Mexico,"Refugees (incl. refugee-like situations)",9
2004,Germany,"The former Yugoslav Republic of Macedonia",Asylum-seekers,81
2004,Germany,"The former Yugoslav Republic of Macedonia","Refugees (incl. refugee-like situations)",2971
2004,Germany,Mali,Asylum-seekers,5
2004,Germany,Mali,"Refugees (incl. refugee-like situations)",180
2004,Germany,Malta,"Refugees (incl. refugee-like situations)",1
2004,Germany,Myanmar,Asylum-seekers,30
2004,Germany,Myanmar,"Refugees (incl. refugee-like situations)",453
2004,Germany,Mongolia,Asylum-seekers,15
2004,Germany,Mongolia,"Refugees (incl. refugee-like situations)",167
2004,Germany,Mozambique,Asylum-seekers,1
2004,Germany,Mozambique,"Refugees (incl. refugee-like situations)",62
2004,Germany,Mauritania,Asylum-seekers,6
2004,Germany,Mauritania,"Refugees (incl. refugee-like situations)",68
2004,Germany,Mauritius,"Refugees (incl. refugee-like situations)",5
2004,Germany,Malawi,"Refugees (incl. refugee-like situations)",11
2004,Germany,Malaysia,Asylum-seekers,3
2004,Germany,Malaysia,"Refugees (incl. refugee-like situations)",25
2004,Germany,Namibia,"Refugees (incl. refugee-like situations)",9
2004,Germany,Niger,Asylum-seekers,8
2004,Germany,Niger,"Refugees (incl. refugee-like situations)",402
2004,Germany,Nigeria,Asylum-seekers,195
2004,Germany,Nigeria,"Refugees (incl. refugee-like situations)",1607
2004,Germany,Nicaragua,"Refugees (incl. refugee-like situations)",6
2004,Germany,Netherlands,"Refugees (incl. refugee-like situations)",40
2004,Germany,Norway,"Refugees (incl. refugee-like situations)",3
2004,Germany,Nepal,Asylum-seekers,65
2004,Germany,Nepal,"Refugees (incl. refugee-like situations)",483
2004,Germany,"New Zealand","Refugees (incl. refugee-like situations)",2
2004,Germany,Oman,"Refugees (incl. refugee-like situations)",4
2004,Germany,Pakistan,Asylum-seekers,244
2004,Germany,Pakistan,"Refugees (incl. refugee-like situations)",8656
2004,Germany,Panama,"Refugees (incl. refugee-like situations)",3
2004,Germany,Peru,Asylum-seekers,2
2004,Germany,Peru,"Refugees (incl. refugee-like situations)",283
2004,Germany,Philippines,"Refugees (incl. refugee-like situations)",100
2004,Germany,"Papua New Guinea","Refugees (incl. refugee-like situations)",2
2004,Germany,Poland,Asylum-seekers,3
2004,Germany,Poland,"Refugees (incl. refugee-like situations)",9292
2004,Germany,"Dem. People's Rep. of Korea",Asylum-seekers,26
2004,Germany,"Dem. People's Rep. of Korea","Refugees (incl. refugee-like situations)",276
2004,Germany,Portugal,Asylum-seekers,1
2004,Germany,Portugal,"Refugees (incl. refugee-like situations)",36
2004,Germany,Paraguay,"Refugees (incl. refugee-like situations)",11
2004,Germany,Qatar,"Refugees (incl. refugee-like situations)",5
2004,Germany,Romania,Asylum-seekers,24
2004,Germany,Romania,"Refugees (incl. refugee-like situations)",3139
2004,Germany,"Russian Federation",Asylum-seekers,2125
2004,Germany,"Russian Federation","Refugees (incl. refugee-like situations)",45030
2004,Germany,Rwanda,Asylum-seekers,24
2004,Germany,Rwanda,"Refugees (incl. refugee-like situations)",496
2004,Germany,"Saudi Arabia","Refugees (incl. refugee-like situations)",120
2004,Germany,Sudan,Asylum-seekers,253
2004,Germany,Sudan,"Refugees (incl. refugee-like situations)",1115
2004,Germany,Senegal,Asylum-seekers,3
2004,Germany,Senegal,"Refugees (incl. refugee-like situations)",61
2004,Germany,Singapore,"Refugees (incl. refugee-like situations)",4
2004,Germany,"Sierra Leone",Asylum-seekers,58
2004,Germany,"Sierra Leone","Refugees (incl. refugee-like situations)",1426
2004,Germany,"El Salvador","Refugees (incl. refugee-like situations)",29
2004,Germany,Somalia,Asylum-seekers,116
2004,Germany,Somalia,"Refugees (incl. refugee-like situations)",3423
2004,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,1601
2004,Germany,"Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",142681
2004,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Returnees,3013
2004,Germany,"Sao Tome and Principe","Refugees (incl. refugee-like situations)",2
2004,Germany,Suriname,"Refugees (incl. refugee-like situations)",1
2004,Germany,Slovakia,Asylum-seekers,17
2004,Germany,Slovakia,"Refugees (incl. refugee-like situations)",336
2004,Germany,Slovenia,"Refugees (incl. refugee-like situations)",94
2004,Germany,Sweden,"Refugees (incl. refugee-like situations)",20
2004,Germany,Swaziland,"Refugees (incl. refugee-like situations)",1
2004,Germany,Seychelles,"Refugees (incl. refugee-like situations)",3
2004,Germany,"Syrian Arab Rep.",Asylum-seekers,475
2004,Germany,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",16184
2004,Germany,Chad,Asylum-seekers,1
2004,Germany,Chad,"Refugees (incl. refugee-like situations)",37
2004,Germany,Togo,Asylum-seekers,168
2004,Germany,Togo,"Refugees (incl. refugee-like situations)",5579
2004,Germany,Thailand,Asylum-seekers,1
2004,Germany,Thailand,"Refugees (incl. refugee-like situations)",194
2004,Germany,Tajikistan,Asylum-seekers,2
2004,Germany,Tajikistan,"Refugees (incl. refugee-like situations)",190
2004,Germany,Turkmenistan,Asylum-seekers,6
2004,Germany,Turkmenistan,"Refugees (incl. refugee-like situations)",520
2004,Germany,Tonga,"Refugees (incl. refugee-like situations)",4
2004,Germany,"Trinidad and Tobago","Refugees (incl. refugee-like situations)",2
2004,Germany,Tunisia,Asylum-seekers,47
2004,Germany,Tunisia,"Refugees (incl. refugee-like situations)",982
2004,Germany,Turkey,Asylum-seekers,1917
2004,Germany,Turkey,"Refugees (incl. refugee-like situations)",128419
2004,Germany,"United Rep. of Tanzania",Asylum-seekers,1
2004,Germany,"United Rep. of Tanzania","Refugees (incl. refugee-like situations)",41
2004,Germany,Uganda,Asylum-seekers,27
2004,Germany,Uganda,"Refugees (incl. refugee-like situations)",354
2004,Germany,Ukraine,Asylum-seekers,84
2004,Germany,Ukraine,"Refugees (incl. refugee-like situations)",57693
2004,Germany,Uruguay,"Refugees (incl. refugee-like situations)",11
2004,Germany,"United States of America","Refugees (incl. refugee-like situations)",192
2004,Germany,Uzbekistan,Asylum-seekers,23
2004,Germany,Uzbekistan,"Refugees (incl. refugee-like situations)",3432
2004,Germany,"Holy See (the)","Refugees (incl. refugee-like situations)",2
2004,Germany,"Venezuela (Bolivarian Republic of)",Asylum-seekers,1
2004,Germany,"Venezuela (Bolivarian Republic of)","Refugees (incl. refugee-like situations)",29
2004,Germany,"Viet Nam",Asylum-seekers,255
2004,Germany,"Viet Nam","Refugees (incl. refugee-like situations)",21006
2004,Germany,Stateless,Asylum-seekers,33
2004,Germany,Stateless,"Refugees (incl. refugee-like situations)",5848
2004,Germany,Various/Unknown,Asylum-seekers,72183
2004,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",110857
2004,Germany,Yemen,Asylum-seekers,17
2004,Germany,Yemen,"Refugees (incl. refugee-like situations)",542
2004,Germany,"South Africa","Refugees (incl. refugee-like situations)",71
2004,Germany,Zambia,"Refugees (incl. refugee-like situations)",13
2004,Germany,Zimbabwe,Asylum-seekers,90
2004,Germany,Zimbabwe,"Refugees (incl. refugee-like situations)",58
2005,Germany,Afghanistan,Asylum-seekers,5081
2005,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",31055
2005,Germany,Afghanistan,Returnees,197
2005,Germany,Angola,Asylum-seekers,623
2005,Germany,Angola,"Refugees (incl. refugee-like situations)",3753
2005,Germany,Albania,Asylum-seekers,187
2005,Germany,Albania,"Refugees (incl. refugee-like situations)",3036
2005,Germany,Andorra,"Refugees (incl. refugee-like situations)",5
2005,Germany,"United Arab Emirates","Refugees (incl. refugee-like situations)",3
2005,Germany,Argentina,"Refugees (incl. refugee-like situations)",12
2005,Germany,Armenia,Asylum-seekers,1085
2005,Germany,Armenia,"Refugees (incl. refugee-like situations)",3943
2005,Germany,"Antigua and Barbuda",Asylum-seekers,1
2005,Germany,Australia,"Refugees (incl. refugee-like situations)",41
2005,Germany,Austria,"Refugees (incl. refugee-like situations)",62
2005,Germany,Azerbaijan,Asylum-seekers,2541
2005,Germany,Azerbaijan,"Refugees (incl. refugee-like situations)",6668
2005,Germany,Burundi,Asylum-seekers,64
2005,Germany,Burundi,"Refugees (incl. refugee-like situations)",178
2005,Germany,Belgium,"Refugees (incl. refugee-like situations)",54
2005,Germany,Benin,Asylum-seekers,69
2005,Germany,Benin,"Refugees (incl. refugee-like situations)",298
2005,Germany,"Burkina Faso",Asylum-seekers,78
2005,Germany,"Burkina Faso","Refugees (incl. refugee-like situations)",401
2005,Germany,Bangladesh,Asylum-seekers,171
2005,Germany,Bangladesh,"Refugees (incl. refugee-like situations)",1438
2005,Germany,Bulgaria,Asylum-seekers,159
2005,Germany,Bulgaria,"Refugees (incl. refugee-like situations)",2651
2005,Germany,Bahamas,Asylum-seekers,1
2005,Germany,"Bosnia and Herzegovina",Asylum-seekers,888
2005,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",9223
2005,Germany,"Bosnia and Herzegovina",Returnees,187
2005,Germany,Belarus,Asylum-seekers,184
2005,Germany,Belarus,"Refugees (incl. refugee-like situations)",3218
2005,Germany,Belize,"Refugees (incl. refugee-like situations)",1
2005,Germany,"Bolivia (Plurinational State of)",Asylum-seekers,1
2005,Germany,"Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)",22
2005,Germany,Brazil,Asylum-seekers,1
2005,Germany,Brazil,"Refugees (incl. refugee-like situations)",12
2005,Germany,Bhutan,Asylum-seekers,22
2005,Germany,Bhutan,"Refugees (incl. refugee-like situations)",123
2005,Germany,Botswana,"Refugees (incl. refugee-like situations)",1
2005,Germany,"Central African Rep.",Asylum-seekers,5
2005,Germany,"Central African Rep.","Refugees (incl. refugee-like situations)",18
2005,Germany,Canada,Asylum-seekers,1
2005,Germany,Canada,"Refugees (incl. refugee-like situations)",109
2005,Germany,Switzerland,"Refugees (incl. refugee-like situations)",9
2005,Germany,Chile,Asylum-seekers,1
2005,Germany,Chile,"Refugees (incl. refugee-like situations)",488
2005,Germany,China,Asylum-seekers,976
2005,Germany,China,"Refugees (incl. refugee-like situations)",3892
2005,Germany,"Côte d'Ivoire",Asylum-seekers,287
2005,Germany,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",813
2005,Germany,Cameroon,Asylum-seekers,948
2005,Germany,Cameroon,"Refugees (incl. refugee-like situations)",1841
2005,Germany,"Dem. Rep. of the Congo",Asylum-seekers,1210
2005,Germany,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",6280
2005,Germany,Congo,Asylum-seekers,203
2005,Germany,Congo,"Refugees (incl. refugee-like situations)",697
2005,Germany,Colombia,Asylum-seekers,118
2005,Germany,Colombia,"Refugees (incl. refugee-like situations)",227
2005,Germany,Comoros,Asylum-seekers,1
2005,Germany,Comoros,"Refugees (incl. refugee-like situations)",1
2005,Germany,"Cabo Verde","Refugees (incl. refugee-like situations)",2
2005,Germany,Cuba,Asylum-seekers,66
2005,Germany,Cuba,"Refugees (incl. refugee-like situations)",513
2005,Germany,Cyprus,"Refugees (incl. refugee-like situations)",1
2005,Germany,"Czech Rep.",Asylum-seekers,14
2005,Germany,"Czech Rep.","Refugees (incl. refugee-like situations)",3016
2005,Germany,Germany,Stateless,9476
2005,Germany,Djibouti,"Refugees (incl. refugee-like situations)",2
2005,Germany,Denmark,Asylum-seekers,1
2005,Germany,Denmark,"Refugees (incl. refugee-like situations)",10
2005,Germany,"Dominican Rep.",Asylum-seekers,2
2005,Germany,"Dominican Rep.","Refugees (incl. refugee-like situations)",7
2005,Germany,Algeria,Asylum-seekers,541
2005,Germany,Algeria,"Refugees (incl. refugee-like situations)",5385
2005,Germany,Ecuador,Asylum-seekers,7
2005,Germany,Ecuador,"Refugees (incl. refugee-like situations)",91
2005,Germany,Egypt,Asylum-seekers,73
2005,Germany,Egypt,"Refugees (incl. refugee-like situations)",1277
2005,Germany,Eritrea,Asylum-seekers,1135
2005,Germany,Eritrea,"Refugees (incl. refugee-like situations)",2746
2005,Germany,Spain,Asylum-seekers,1
2005,Germany,Spain,"Refugees (incl. refugee-like situations)",39
2005,Germany,Estonia,Asylum-seekers,5
2005,Germany,Estonia,"Refugees (incl. refugee-like situations)",437
2005,Germany,Ethiopia,Asylum-seekers,726
2005,Germany,Ethiopia,"Refugees (incl. refugee-like situations)",5146
2005,Germany,Finland,Asylum-seekers,2
2005,Germany,Finland,"Refugees (incl. refugee-like situations)",4
2005,Germany,Fiji,"Refugees (incl. refugee-like situations)",2
2005,Germany,France,Asylum-seekers,3
2005,Germany,France,"Refugees (incl. refugee-like situations)",241
2005,Germany,Gabon,Asylum-seekers,8
2005,Germany,Gabon,"Refugees (incl. refugee-like situations)",16
2005,Germany,"United Kingdom",Asylum-seekers,1
2005,Germany,"United Kingdom","Refugees (incl. refugee-like situations)",42
2005,Germany,Georgia,Asylum-seekers,547
2005,Germany,Georgia,"Refugees (incl. refugee-like situations)",2664
2005,Germany,Ghana,Asylum-seekers,384
2005,Germany,Ghana,"Refugees (incl. refugee-like situations)",7136
2005,Germany,Guinea,Asylum-seekers,424
2005,Germany,Guinea,"Refugees (incl. refugee-like situations)",723
2005,Germany,Gambia,Asylum-seekers,113
2005,Germany,Gambia,"Refugees (incl. refugee-like situations)",1041
2005,Germany,Guinea-Bissau,Asylum-seekers,37
2005,Germany,Guinea-Bissau,"Refugees (incl. refugee-like situations)",76
2005,Germany,"Equatorial Guinea",Asylum-seekers,2
2005,Germany,"Equatorial Guinea","Refugees (incl. refugee-like situations)",35
2005,Germany,Greece,Asylum-seekers,1
2005,Germany,Greece,"Refugees (incl. refugee-like situations)",307
2005,Germany,Guatemala,"Refugees (incl. refugee-like situations)",1
2005,Germany,Guyana,Asylum-seekers,2
2005,Germany,Guyana,"Refugees (incl. refugee-like situations)",1
2005,Germany,Croatia,Asylum-seekers,42
2005,Germany,Croatia,"Refugees (incl. refugee-like situations)",2784
2005,Germany,Haiti,Asylum-seekers,8
2005,Germany,Haiti,"Refugees (incl. refugee-like situations)",7
2005,Germany,Hungary,Asylum-seekers,8
2005,Germany,Hungary,"Refugees (incl. refugee-like situations)",2398
2005,Germany,Indonesia,Asylum-seekers,10
2005,Germany,Indonesia,"Refugees (incl. refugee-like situations)",26
2005,Germany,India,Asylum-seekers,704
2005,Germany,India,"Refugees (incl. refugee-like situations)",5947
2005,Germany,Ireland,"Refugees (incl. refugee-like situations)",18
2005,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,4883
2005,Germany,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",24016
2005,Germany,Iraq,Asylum-seekers,5690
2005,Germany,Iraq,"Refugees (incl. refugee-like situations)",52922
2005,Germany,Iceland,"Refugees (incl. refugee-like situations)",4
2005,Germany,Israel,Asylum-seekers,59
2005,Germany,Israel,"Refugees (incl. refugee-like situations)",160
2005,Germany,Italy,Asylum-seekers,2
2005,Germany,Italy,"Refugees (incl. refugee-like situations)",204
2005,Germany,Jamaica,Asylum-seekers,3
2005,Germany,Jamaica,"Refugees (incl. refugee-like situations)",4
2005,Germany,Jordan,Asylum-seekers,102
2005,Germany,Jordan,"Refugees (incl. refugee-like situations)",1032
2005,Germany,Japan,"Refugees (incl. refugee-like situations)",2
2005,Germany,Kazakhstan,Asylum-seekers,72
2005,Germany,Kazakhstan,"Refugees (incl. refugee-like situations)",1812
2005,Germany,Kenya,Asylum-seekers,120
2005,Germany,Kenya,"Refugees (incl. refugee-like situations)",290
2005,Germany,Kyrgyzstan,Asylum-seekers,48
2005,Germany,Kyrgyzstan,"Refugees (incl. refugee-like situations)",1961
2005,Germany,Cambodia,Asylum-seekers,11
2005,Germany,Cambodia,"Refugees (incl. refugee-like situations)",181
2005,Germany,"Rep. of Korea",Asylum-seekers,3
2005,Germany,"Rep. of Korea","Refugees (incl. refugee-like situations)",66
2005,Germany,Kuwait,Asylum-seekers,3
2005,Germany,Kuwait,"Refugees (incl. refugee-like situations)",12
2005,Germany,"Lao People's Dem. Rep.",Asylum-seekers,7
2005,Germany,"Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)",246
2005,Germany,Lebanon,Asylum-seekers,775
2005,Germany,Lebanon,"Refugees (incl. refugee-like situations)",15619
2005,Germany,Liberia,Asylum-seekers,285
2005,Germany,Liberia,"Refugees (incl. refugee-like situations)",744
2005,Germany,Libya,Asylum-seekers,110
2005,Germany,Libya,"Refugees (incl. refugee-like situations)",353
2005,Germany,"Saint Lucia","Refugees (incl. refugee-like situations)",1
2005,Germany,"Sri Lanka",Asylum-seekers,542
2005,Germany,"Sri Lanka","Refugees (incl. refugee-like situations)",15304
2005,Germany,Lesotho,Asylum-seekers,1
2005,Germany,Lesotho,"Refugees (incl. refugee-like situations)",2
2005,Germany,Lithuania,Asylum-seekers,10
2005,Germany,Lithuania,"Refugees (incl. refugee-like situations)",1129
2005,Germany,Luxembourg,"Refugees (incl. refugee-like situations)",1
2005,Germany,Latvia,Asylum-seekers,4
2005,Germany,Latvia,"Refugees (incl. refugee-like situations)",1869
2005,Germany,Morocco,Asylum-seekers,174
2005,Germany,Morocco,"Refugees (incl. refugee-like situations)",2491
2005,Germany,"Rep. of Moldova",Asylum-seekers,73
2005,Germany,"Rep. of Moldova","Refugees (incl. refugee-like situations)",5466
2005,Germany,Madagascar,"Refugees (incl. refugee-like situations)",5
2005,Germany,Mexico,Asylum-seekers,5
2005,Germany,Mexico,"Refugees (incl. refugee-like situations)",1
2005,Germany,"The former Yugoslav Republic of Macedonia",Asylum-seekers,293
2005,Germany,"The former Yugoslav Republic of Macedonia","Refugees (incl. refugee-like situations)",6539
2005,Germany,Mali,Asylum-seekers,27
2005,Germany,Mali,"Refugees (incl. refugee-like situations)",134
2005,Germany,Myanmar,Asylum-seekers,227
2005,Germany,Myanmar,"Refugees (incl. refugee-like situations)",331
2005,Germany,Mongolia,Asylum-seekers,43
2005,Germany,Mongolia,"Refugees (incl. refugee-like situations)",193
2005,Germany,Mozambique,Asylum-seekers,4
2005,Germany,Mozambique,"Refugees (incl. refugee-like situations)",70
2005,Germany,Mauritania,Asylum-seekers,12
2005,Germany,Mauritania,"Refugees (incl. refugee-like situations)",57
2005,Germany,Mauritius,Asylum-seekers,1
2005,Germany,Mauritius,"Refugees (incl. refugee-like situations)",5
2005,Germany,Malawi,"Refugees (incl. refugee-like situations)",2
2005,Germany,Malaysia,Asylum-seekers,3
2005,Germany,Malaysia,"Refugees (incl. refugee-like situations)",21
2005,Germany,Namibia,Asylum-seekers,1
2005,Germany,Namibia,"Refugees (incl. refugee-like situations)",8
2005,Germany,Niger,Asylum-seekers,90
2005,Germany,Niger,"Refugees (incl. refugee-like situations)",326
2005,Germany,Nigeria,Asylum-seekers,1170
2005,Germany,Nigeria,"Refugees (incl. refugee-like situations)",5984
2005,Germany,Nicaragua,"Refugees (incl. refugee-like situations)",6
2005,Germany,Netherlands,Asylum-seekers,5
2005,Germany,Netherlands,"Refugees (incl. refugee-like situations)",150
2005,Germany,Norway,"Refugees (incl. refugee-like situations)",12
2005,Germany,Nepal,Asylum-seekers,242
2005,Germany,Nepal,"Refugees (incl. refugee-like situations)",530
2005,Germany,"New Zealand","Refugees (incl. refugee-like situations)",3
2005,Germany,Pakistan,Asylum-seekers,1153
2005,Germany,Pakistan,"Refugees (incl. refugee-like situations)",10815
2005,Germany,Panama,"Refugees (incl. refugee-like situations)",3
2005,Germany,Peru,Asylum-seekers,8
2005,Germany,Peru,"Refugees (incl. refugee-like situations)",272
2005,Germany,Philippines,Asylum-seekers,3
2005,Germany,Philippines,"Refugees (incl. refugee-like situations)",70
2005,Germany,"Papua New Guinea","Refugees (incl. refugee-like situations)",1
2005,Germany,Poland,Asylum-seekers,8
2005,Germany,Poland,"Refugees (incl. refugee-like situations)",18265
2005,Germany,"Dem. People's Rep. of Korea",Asylum-seekers,42
2005,Germany,"Dem. People's Rep. of Korea","Refugees (incl. refugee-like situations)",193
2005,Germany,Portugal,Asylum-seekers,1
2005,Germany,Portugal,"Refugees (incl. refugee-like situations)",63
2005,Germany,Paraguay,"Refugees (incl. refugee-like situations)",9
2005,Germany,Qatar,"Refugees (incl. refugee-like situations)",2
2005,Germany,Romania,Asylum-seekers,42
2005,Germany,Romania,"Refugees (incl. refugee-like situations)",8496
2005,Germany,"Russian Federation",Asylum-seekers,4900
2005,Germany,"Russian Federation","Refugees (incl. refugee-like situations)",41732
2005,Germany,Rwanda,Asylum-seekers,82
2005,Germany,Rwanda,"Refugees (incl. refugee-like situations)",272
2005,Germany,"Saudi Arabia",Asylum-seekers,3
2005,Germany,"Saudi Arabia","Refugees (incl. refugee-like situations)",4
2005,Germany,Sudan,Asylum-seekers,373
2005,Germany,Sudan,"Refugees (incl. refugee-like situations)",851
2005,Germany,Senegal,Asylum-seekers,21
2005,Germany,Senegal,"Refugees (incl. refugee-like situations)",311
2005,Germany,Singapore,Asylum-seekers,1
2005,Germany,Singapore,"Refugees (incl. refugee-like situations)",2
2005,Germany,"Sierra Leone",Asylum-seekers,331
2005,Germany,"Sierra Leone","Refugees (incl. refugee-like situations)",1166
2005,Germany,"El Salvador","Refugees (incl. refugee-like situations)",18
2005,Germany,Somalia,Asylum-seekers,284
2005,Germany,Somalia,"Refugees (incl. refugee-like situations)",2903
2005,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,11968
2005,Germany,"Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",99789
2005,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Returnees,2480
2005,Germany,Slovakia,Asylum-seekers,54
2005,Germany,Slovakia,"Refugees (incl. refugee-like situations)",511
2005,Germany,Slovenia,Asylum-seekers,1
2005,Germany,Slovenia,"Refugees (incl. refugee-like situations)",125
2005,Germany,Sweden,"Refugees (incl. refugee-like situations)",64
2005,Germany,Seychelles,"Refugees (incl. refugee-like situations)",1
2005,Germany,"Syrian Arab Rep.",Asylum-seekers,2888
2005,Germany,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",10469
2005,Germany,Chad,Asylum-seekers,17
2005,Germany,Chad,"Refugees (incl. refugee-like situations)",46
2005,Germany,Togo,Asylum-seekers,1290
2005,Germany,Togo,"Refugees (incl. refugee-like situations)",5988
2005,Germany,Thailand,Asylum-seekers,3
2005,Germany,Thailand,"Refugees (incl. refugee-like situations)",67
2005,Germany,Tajikistan,Asylum-seekers,21
2005,Germany,Tajikistan,"Refugees (incl. refugee-like situations)",152
2005,Germany,Turkmenistan,Asylum-seekers,35
2005,Germany,Turkmenistan,"Refugees (incl. refugee-like situations)",460
2005,Germany,Tonga,"Refugees (incl. refugee-like situations)",2
2005,Germany,"Trinidad and Tobago","Refugees (incl. refugee-like situations)",1
2005,Germany,Tunisia,Asylum-seekers,130
2005,Germany,Tunisia,"Refugees (incl. refugee-like situations)",1537
2005,Germany,Turkey,Asylum-seekers,8367
2005,Germany,Turkey,"Refugees (incl. refugee-like situations)",122891
2005,Germany,"United Rep. of Tanzania",Asylum-seekers,17
2005,Germany,"United Rep. of Tanzania","Refugees (incl. refugee-like situations)",28
2005,Germany,Uganda,Asylum-seekers,115
2005,Germany,Uganda,"Refugees (incl. refugee-like situations)",363
2005,Germany,Ukraine,Asylum-seekers,195
2005,Germany,Ukraine,"Refugees (incl. refugee-like situations)",56276
2005,Germany,Uruguay,"Refugees (incl. refugee-like situations)",9
2005,Germany,"United States of America",Asylum-seekers,3
2005,Germany,"United States of America","Refugees (incl. refugee-like situations)",87
2005,Germany,Uzbekistan,Asylum-seekers,72
2005,Germany,Uzbekistan,"Refugees (incl. refugee-like situations)",3353
2005,Germany,"Venezuela (Bolivarian Republic of)",Asylum-seekers,3
2005,Germany,"Venezuela (Bolivarian Republic of)","Refugees (incl. refugee-like situations)",6
2005,Germany,"Viet Nam",Asylum-seekers,1146
2005,Germany,"Viet Nam","Refugees (incl. refugee-like situations)",30786
2005,Germany,Stateless,Asylum-seekers,197
2005,Germany,Stateless,"Refugees (incl. refugee-like situations)",4090
2005,Germany,Various/Unknown,Asylum-seekers,2726
2005,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",14088
2005,Germany,Yemen,Asylum-seekers,125
2005,Germany,Yemen,"Refugees (incl. refugee-like situations)",296
2005,Germany,"South Africa",Asylum-seekers,4
2005,Germany,"South Africa","Refugees (incl. refugee-like situations)",64
2005,Germany,Zambia,Asylum-seekers,2
2005,Germany,Zambia,"Refugees (incl. refugee-like situations)",9
